,Y_pred,Y_test,Difference
0,86.906,80.0,6.906
1,79.486,76.5,2.986
2,78.356,68.0,10.356
3,87.641,76.5,11.141
4,77.236,76.5,0.736
5,76.668,76.5,0.168
6,84.862,58.67,26.192
7,75.313,68.0,7.313
8,84.149,76.5,7.649
9,84.149,76.5,7.649
10,74.824,86.0,11.176
11,86.307,43.0,43.307
12,74.824,86.0,11.176
13,71.721,63.0,8.721
14,75.552,86.0,10.448
15,86.629,63.0,23.629
16,71.911,63.0,8.911
17,74.824,86.0,11.176
18,74.824,86.0,11.176
19,71.911,63.0,8.911
20,75.552,86.0,10.448
21,88.068,63.75,24.318
22,74.824,86.0,11.176
23,74.824,86.0,11.176
24,82.232,76.5,5.732
25,100.798,60.27,40.528
26,86.15,68.0,18.15
27,89.246,68.0,21.246
28,96.868,76.5,20.368
29,79.514,60.0,19.514
30,106.677,55.8,50.877
31,101.143,52.36,48.783
32,110.573,49.74,60.833
33,88.522,76.5,12.022
34,90.919,68.0,22.919
35,95.134,68.0,27.134
36,107.732,93.6,14.132
37,112.675,76.5,36.175
38,112.907,76.5,36.407
39,96.292,76.5,19.792
40,107.058,76.5,30.558
41,103.236,68.0,35.236
42,93.633,68.0,25.633
43,95.877,81.0,14.877
44,108.756,76.08,32.676
45,87.352,76.5,10.852
46,88.668,76.5,12.168
47,86.434,37.33,49.104
48,96.012,76.5,19.512
49,95.877,90.0,5.877
50,114.573,45.0,69.573
51,106.286,45.0,61.286
52,122.312,76.5,45.812
53,112.665,62.37,50.295
54,105.161,48.6,56.561
55,105.161,48.6,56.561
56,105.154,48.6,56.554
57,72.343,62.0,10.343
58,88.433,76.5,11.933
59,109.689,67.5,42.189
60,100.982,76.5,24.482
61,108.007,76.5,31.507
62,112.881,76.5,36.381
63,111.937,68.85,43.087
64,116.62,68.85,47.77
65,98.663,100.0,1.337
66,93.866,76.5,17.366
67,106.507,58.9,47.607
68,84.16,63.75,20.41
69,87.269,68.85,18.419
70,95.645,76.5,19.145
71,103.555,68.0,35.555
72,114.283,106.25,8.033
73,104.245,58.9,45.345
74,104.245,58.9,45.345
75,74.972,51.96,23.012
76,71.108,75.0,3.892
77,74.972,51.96,23.012
78,88.348,104.0,15.652
79,98.72,76.5,22.22
80,85.612,94.5,8.888
81,85.612,94.5,8.888
82,97.256,76.5,20.756
83,96.304,76.5,19.804
84,85.612,94.5,8.888
85,94.793,94.5,0.293
86,97.199,138.5,41.301
87,87.396,55.96,31.436
88,85.612,94.5,8.888
89,85.612,94.5,8.888
90,79.445,72.5,6.945
91,94.793,94.5,0.293
92,94.793,94.5,0.293
93,85.612,94.5,8.888
94,94.793,94.5,0.293
95,79.445,72.5,6.945
96,85.612,94.5,8.888
97,94.793,94.5,0.293
98,94.793,94.5,0.293
99,85.612,94.5,8.888
100,94.793,94.5,0.293
101,87.396,55.96,31.436
102,79.445,72.5,6.945
103,87.597,58.9,28.697
104,85.612,94.5,8.888
105,85.612,94.5,8.888
106,85.612,94.5,8.888
107,85.612,94.5,8.888
108,94.793,94.5,0.293
109,96.304,76.5,19.804
110,85.612,94.5,8.888
111,94.793,94.5,0.293
112,97.199,138.5,41.301
113,85.612,94.5,8.888
114,94.793,94.5,0.293
115,94.793,94.5,0.293
116,86.39,76.5,9.89
117,86.454,76.5,9.954
118,71.363,63.75,7.613
119,99.359,76.5,22.859
120,104.101,76.5,27.601
121,99.359,91.33,8.029
122,99.359,76.5,22.859
123,115.997,91.33,24.667
124,104.101,76.5,27.601
125,99.359,91.33,8.029
126,87.432,76.5,10.932
127,88.476,67.15,21.326
128,94.616,76.5,18.116
129,100.557,76.5,24.057
130,93.276,76.5,16.776
131,105.84,76.5,29.34
132,118.755,76.5,42.255
133,94.447,55.96,38.487
134,82.324,0.0,82.324
135,121.074,85.5,35.574
136,134.39,89.25,45.14
137,103.839,89.25,14.589
138,101.167,76.5,24.667
139,106.605,0.0,106.605
140,102.311,68.0,34.311
141,102.86,68.0,34.86
142,90.114,76.5,13.614
143,103.764,76.5,27.264
144,110.238,76.5,33.738
145,99.203,85.5,13.703
146,102.222,76.5,25.722
147,99.75,76.5,23.25
148,73.837,52.36,21.477
149,59.043,57.5,1.543
150,59.043,57.5,1.543
151,103.771,108.75,4.979
152,66.915,75.0,8.085
153,66.915,75.0,8.085
154,66.915,75.0,8.085
155,66.915,75.0,8.085
156,66.915,75.0,8.085
157,66.915,75.0,8.085
158,66.915,75.0,8.085
159,59.043,57.5,1.543
160,66.915,75.0,8.085
161,66.915,75.0,8.085
162,103.771,108.75,4.979
163,66.915,75.0,8.085
164,66.915,75.0,8.085
165,66.915,75.0,8.085
166,59.043,0.0,59.043
167,103.771,108.75,4.979
168,66.915,75.0,8.085
169,59.043,57.5,1.543
170,100.462,94.5,5.962
171,82.418,72.5,9.918
172,100.462,94.5,5.962
173,88.096,94.5,6.404
174,100.462,94.5,5.962
175,100.462,94.5,5.962
176,100.462,94.5,5.962
177,100.462,94.5,5.962
178,100.462,94.5,5.962
179,88.096,94.5,6.404
180,88.096,94.5,6.404
181,100.462,94.5,5.962
182,100.462,94.5,5.962
183,88.096,94.5,6.404
184,100.462,94.5,5.962
185,100.462,94.5,5.962
186,100.462,94.5,5.962
187,100.462,94.5,5.962
188,100.462,94.5,5.962
189,100.462,94.5,5.962
190,106.518,138.5,31.982
191,100.462,94.5,5.962
192,100.462,94.5,5.962
193,100.462,94.5,5.962
194,77.298,62.0,15.298
195,77.298,62.0,15.298
196,61.244,0.0,61.244
197,79.16,62.0,17.16
198,79.16,62.0,17.16
199,79.16,62.0,17.16
200,69.904,68.0,1.904
201,79.16,62.0,17.16
202,79.16,62.0,17.16
203,69.874,60.0,9.874
204,79.16,62.0,17.16
205,79.16,62.0,17.16
206,77.298,62.0,15.298
207,77.298,62.0,15.298
208,79.16,62.0,17.16
209,79.16,62.0,17.16
210,77.298,62.0,15.298
211,77.298,62.0,15.298
212,79.16,62.0,17.16
213,79.16,62.0,17.16
214,121.175,84.0,37.175
215,79.16,62.0,17.16
216,79.16,62.0,17.16
217,77.298,62.0,15.298
218,79.16,62.0,17.16
219,77.298,62.0,15.298
220,61.244,0.0,61.244
221,79.16,62.0,17.16
222,77.298,62.0,15.298
223,77.298,62.0,15.298
224,79.16,62.0,17.16
225,97.206,62.0,35.206
226,87.059,85.5,1.559
227,100.827,76.5,24.327
228,100.827,76.5,24.327
229,91.074,80.7,10.374
230,109.262,76.5,32.762
231,74.483,68.0,6.483
232,93.591,76.5,17.091
233,108.056,46.66,61.396
234,100.048,104.0,3.952
235,97.498,76.5,20.998
236,110.512,55.08,55.432
237,33.146,62.0,28.854
238,66.519,62.0,4.519
239,111.362,84.0,27.362
240,75.305,62.0,13.305
241,75.305,62.0,13.305
242,66.519,62.0,4.519
243,73.988,62.0,11.988
244,75.305,62.0,13.305
245,75.305,62.0,13.305
246,66.519,62.0,4.519
247,73.988,62.0,11.988
248,75.305,62.0,13.305
249,66.519,62.0,4.519
250,33.146,62.0,28.854
251,46.03,0.0,46.03
252,111.362,84.0,27.362
253,33.146,62.0,28.854
254,66.519,62.0,4.519
255,75.305,62.0,13.305
256,75.305,62.0,13.305
257,66.519,62.0,4.519
258,73.988,62.0,11.988
259,46.03,60.0,13.97
260,75.305,62.0,13.305
261,75.305,62.0,13.305
262,75.305,62.0,13.305
263,66.519,62.0,4.519
264,73.988,62.0,11.988
265,104.515,62.0,42.515
266,66.519,62.0,4.519
